Timestamp,X,Y,Z,Label,Time_Sec
2025-04-06 13:59:28.853270000,1.1,2.25,-5.0,Idle,0.0
2025-04-06 13:59:28.869700500,1.45,4.17,-6.17,Transition,0.0164305
2025-04-06 13:59:28.886131000,1.17,4.59,-7.24,Transition,0.032861
2025-04-06 13:59:28.902561500,0.29,2.64,-7.74,Transition,0.0492915
2025-04-06 13:59:28.918992000,-0.63,-0.72,-8.61,Transition,0.065722
2025-04-06 13:59:28.935422500,-0.24,-2.65,-7.64,Transition,0.0821525
2025-04-06 13:59:28.951853000,-0.3,-2.44,-7.76,Transition,0.098583
2025-04-06 13:59:28.968283500,-1.33,-2.69,-8.75,Transition,0.1150135
2025-04-06 13:59:28.984714000,-3.16,-2.97,-9.78,Transition,0.131444
2025-04-06 13:59:29.001144500,-4.35,-2.87,-10.75,Transition,0.1478745
2025-04-06 13:59:29.017575000,-3.78,-2.66,-10.53,Transition,0.164305
2025-04-06 13:59:29.034005500,-2.69,-2.28,-10.01,Transition,0.1807355
2025-04-06 13:59:29.050436000,-2.73,-1.34,-10.4,Transition,0.197166
2025-04-06 13:59:29.066866500,-2.59,-0.98,-10.62,Transition,0.2135965
2025-04-06 13:59:29.083297000,-1.67,-0.8,-10.34,Transition,0.230027
2025-04-06 13:59:29.099727500,-0.28,-0.89,-9.79,Transition,0.2464575
2025-04-06 13:59:29.116158000,-0.19,-0.85,-9.74,Transition,0.262888
2025-04-06 13:59:29.132588500,-0.21,-0.63,-9.98,Transition,0.2793185
2025-04-06 13:59:29.149019000,0.01,-0.53,-9.98,Transition,0.295749
2025-04-06 13:59:29.165449500,0.21,-0.7,-9.7,Transition,0.3121795
2025-04-06 13:59:29.181880000,-0.09,-0.71,-9.68,Transition,0.32861
2025-04-06 13:59:29.198310500,-0.81,-0.7,-9.88,Transition,0.3450405
2025-04-06 13:59:29.214741000,-1.09,-0.79,-9.89,Transition,0.361471
2025-04-06 13:59:29.231171500,-1.34,-1.09,-9.8,Transition,0.3779015
2025-04-06 13:59:29.247602000,-1.4,-1.28,-9.79,Transition,0.394332
2025-04-06 13:59:29.264032500,-1.37,-1.34,-9.82,Transition,0.4107625
2025-04-06 13:59:29.280463000,-1.58,-1.39,-10.03,Transition,0.427193
2025-04-06 13:59:29.296893500,-1.67,-1.45,-10.09,Transition,0.4436235
2025-04-06 13:59:29.313324000,-1.49,-1.35,-10.16,Transition,0.460054
2025-04-06 13:59:29.329754500,-1.15,-1.15,-10.21,Transition,0.4764845
2025-04-06 13:59:29.346185000,-1.05,-1.12,-10.17,Transition,0.492915
2025-04-06 13:59:29.362615500,-1.15,-1.12,-10.14,Transition,0.5093455
2025-04-06 13:59:29.379046000,-1.0,-1.45,-9.92,Transition,0.525776
2025-04-06 13:59:29.395476500,-1.0,-1.4,-10.03,Transition,0.5422065
2025-04-06 13:59:29.411907000,-0.99,-1.26,-10.13,Transition,0.558637
2025-04-06 13:59:29.428337500,-0.93,-1.34,-9.92,Transition,0.5750675
2025-04-06 13:59:29.444768000,-1.03,-1.47,-9.99,Transition,0.591498
2025-04-06 13:59:29.461198500,-1.09,-1.57,-10.21,Transition,0.6079285
2025-04-06 13:59:29.477629000,-1.16,-1.56,-10.31,Transition,0.624359
2025-04-06 13:59:29.494059500,-1.23,-1.63,-10.42,Transition,0.6407895
2025-04-06 13:59:29.510490000,-1.14,-1.7,-10.61,Transition,0.65722
2025-04-06 13:59:29.526920500,-0.96,-1.79,-10.79,Transition,0.6736505
2025-04-06 13:59:29.543351000,-1.03,-1.84,-11.0,Transition,0.690081
